CCn1ccc(CC(=O)N[C@H]2C[C@H]3CC[C@@H]2N3C(=O)COC)n1,ZINC000997044049
CN(C(=O)CCNS(C)(=O)=O)C1CCN(C(=O)c2ccccc2)CC1,ZINC000066775338
CCC(CC)n1ccc(C[NH2+]C2(C3CC3)CC2)n1,ZINC000543453887
CS(=O)(=O)NC[C@@H]1CCC[C@@H]1NC(=O)C(=O)Nc1ccc(S(C)(=O)=O)cc1,ZINC000506709404
C[C@H]1CC[C@@](CO)([N@H+](C)CCN2CCCOCC2)C1,ZINC000361381859
COc1ccc(C[C@@H](CO)CNC(=O)NCCC[NH3+])cc1Br,ZINC000418313276
N#Cc1c(NC[C@@H]2CC[C@@H](C3CC3)O2)cccc1-n1cccn1,ZINC000896801943
Cc1cccc2c(CCNC(=O)N[C@H]3CC(=O)N(C(C)C)C3)c[nH]c21,ZINC000267608933
COC(=O)[C@@H]1CC[C@H]1c1nc(C2(c3ccccc3)CCC2)no1,ZINC000289647494
COCCOc1ccc(CNC(=O)CN2CCNC(=O)[C@@H]2C)cc1,ZINC000355403687
CCn1cc(CS(=O)(=O)CCCc2ccccc2OC)nn1,ZINC000899988634
CC(C)c1nc2n(n1)CCC[C@@H]2NC(=O)CCn1ccnc1,ZINC000370362110
CC(=O)c1cccc(OCC(=O)N(C)CC(F)F)c1,ZINC000103400430
C[C@H]([NH2+]Cc1cccn1C)C12CC3CC(CC(C3)C1)C2,ZINC000008497405
